Gender,Personality,Anxious,Depressed,Neutral,Stressed,Happy,Helpfulness
Female,Feeler,"Listen to music, Take a walk, Read a book, Deep breathing","Listen to music, Take a walk, Do something creative( eg; handcraft, painting, etc), Sleep or baking ","Talk to someone, Listen to music, Read a book, Spend time with friends","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Cleaning","Talk to someone, Excercise, Spend time with friends, Sports",3
Female,Feeler,"Talk to someone, Do something creative( eg; handcraft, painting, etc)","Talk to someone, Spend time with friends","Listen to music, Take a walk",Binge eating ,Mindfulness,4
Female,Introvert,Spend time with friends,Cry,"Journaling, Talk to someone, Spend time with friends",Talk to someone,Spend time with friends,3
Female,Introvert,"Meditation, Listen to music, Deep breathing","Meditation, Listen to music, Take a walk, Deep breathing, Breathing technique","Talk to someone, Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends","Meditation, Talk to someone, Spend time with friends","Talk to someone, Do something creative( eg; handcraft, painting, etc), Spend time with friends",3
Female,Extrovert,"Talk to someone, Listen to music, Deep breathing, Breathing technique","Talk to someone, Excercise, Listen to music, Read a book","Excercise, Listen to music, Read a book, Spend time with friends","Excercise, Take a walk, Deep breathing, Breathing technique","Talk to someone, Listen to music, Read a book, Spend time with friends",4
Female,Introvert,"Meditation, Journaling, Talk to someone, Deep breathing, Spend time with friends, Breathing technique, Mindfulness","Talk to someone, Take a walk, Spend time with friends, Breathing technique","Talk to someone, Listen to music, Take a walk, Spend time with friends, Breathing technique, Sports","Meditation, Talk to someone, Excercise, Listen to music, Take a walk, Deep breathing","Talk to someone, Listen to music, Take a walk, Spend time with friends",3
Female,Introvert,"Meditation, Deep breathing, Breathing technique, Mindfulness","Meditation, Take a walk, Sports, Mindfulness","Talk to someone, Listen to music, Spend time with friends, Sports","Meditation, Excercise, Deep breathing, Mindfulness","Talk to someone, Excercise, Listen to music, Spend time with friends",5
Female,Extrovert,"Talk to someone, Deep breathing, Spend time with friends, Sleep","Deep breathing, Sleep","Talk to someone, Listen to music, Spend time with friends","Talk to someone, Listen to music, Deep breathing, Spend time with friends","Talk to someone, Listen to music, Spend time with friends",4
Female,Introvert,"Journaling, Talk to someone, Take a walk, Deep breathing","Journaling, Take a walk, Spend time with friends, Sports","Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends, Sports","Listen to music, Do something creative( eg; handcraft, painting, etc), Spend time with friends, Mindfulness","Journaling, Talk to someone, Excercise, Listen to music",3
Male,Adventurer,"Excercise, Listen to music, Deep breathing, Spend time with friends","Talk to someone, Excercise, Take a walk, Spend time with friends, Sports","Listen to music, Read a book, Spend time with friends, Sports","Meditation, Listen to music, Spend time with friends, Sports","Read a book, Spend time with friends, Mindfulness",4
